id;title;SCHULE1;address;lat;lng;type;SCHULFORM1;icon;color;Gebaeudeklasse;KESSFaktor;Summe2011;Summe2012;Summe2013;Summe2014;Summe2015;SCHULE2;REGION2;SCHULFORM2;Kessfaktor2;Plankosten2016
5231;Grundschule Goosacker;Grundschule Goosacker;Goosacker 41, 22549 Hamburg;53.570968;9.849501;Grundschule;Grundschule;fa-building-o;green;4,4;4;;;39970;45757;;;;;;
5239;Grundschule Groß Flottbek;Grundschule Groß Flottbek;Osdorfer Weg 24, 22607 Hamburg;53.567321;9.894137;Grundschule;Grundschule;fa-building-o;green;3,2;5;;;22220;30795;31033;Grundschule Groß Flottbek;Altona;Grundschule;5;90000
5506;Grundschule Großlohering;Grundschule Großlohering;Großlohering 11, 22143 Hamburg;53.600624;10.178152;Grundschule;Grundschule;fa-building-o;green;3;2;;;31029;36781;29676;;;;;
5136;Grundschule Hasenweg;Grundschule Hasenweg;Hasenweg 40, 22393 Hamburg;53.638285;10.118698;Grundschule;Grundschule;fa-building-o;green;3,6;5;;;20180;12865;6573;;;;;
5612;Grundschule Heidhorst;Grundschule Heidhorst;Heidhorst 16, 21031 Hamburg;53.516513;10.168694;Grundschule;Grundschule;fa-building-o;green;2;4;;;13694;15915;13661;Grundschule Heidhorst;Bergedorf;Grundschule;4;101750
5304;Grundschule Hoheluft;Grundschule Hoheluft;Wrangelstraße 80, 20253 Hamburg;53.581466;9.967513;Grundschule;Grundschule;fa-building-o;green;2,9;5;;;11932;12788;9574;;;;;
5250;Grundschule Horn;Grundschule Horn;Rhiemsweg 61, 22111 Hamburg;53.558812;10.075143;Grundschule;Grundschule;fa-building-o;green;2,1;2;;;24884;23474;27473;Grundschule Horn;Hamburg-Mitte;Grundschule;2;136500
5538;Grundschule Islandstraße;Grundschule Islandstraße;Islandstraße 25, 22145 Hamburg;53.629043;10.159966;Grundschule;Grundschule;fa-building-o;green;4,8;4;;;11177;25827;15792;;;;;
;;;;;;;;;;;;;;;;;Grundschule Iserbarg;Altona;Grundschule;5;287000
5208;Grundschule Karlshöhe mit Zweigstellen;Grundschule Karlshöhe mit Zweigstellen;Lienaustraße 32, 22175 Hamburg;53.629151;10.125543;Grundschule;Grundschule;fa-building-o;green;3,6;5;;;42513;44753;42439;;;;;
5117;Grundschule Kirchdorf;;Prassekstraße 5, 21109 Hamburg;53.492697;10.009719;Grundschule;;fa-building-o;green;;;;;;;;;;;;
5104;Grundschule Lohkampstraße;;Lohkampstraße 145, 22523 Hamburg;53.613058;9.888585;Grundschule;;fa-building-o;green;;;;;;;;;;;;
5270;Grundschule Luruper Hauptstraße;;Luruper Hauptstraße 131, 22547 Hamburg;53.5983057;9.8542541;Grundschule;;fa-building-o;green;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Grundschule Marschweg;Altona;Grundschule;6;122500
;;;;;;;;;;;;;;;;;Grundschule Max-Eichholz-Ring;Bergedorf;Grundschule;4;167230
;;;;;;;;;;;;;;;;;Grundschule Mendelsohnstraße;Altona;Grundschule;2;170000
5611;Grundschule Mendelstraße;Grundschule Mendelstraße;Mendelstraße 6, 21031 Hamburg;53.506356;10.192654;Grundschule;Grundschule;fa-building-o;green;4,3;2;;;23768;74154;33914;Grundschule Mendelstraße;Bergedorf;Grundschule;2;153500
;;;;;;;;;;;;;;;;;Grundschule Mittlerer Landweg;Bergedorf;Grundschule;5;63250
5058;Grundschule Mümmelmannsberg;Grundschule Mümmelmannsberg;Mümmelmannsberg 54, 22115 Hamburg;53.529506;10.140067;Grundschule;Grundschule;fa-building-o;green;3,6;1;;;58407;66727;35452;Grundschule Mümmelmannsberg;Hamburg-Mitte;Grundschule;1;595000
;;Grundschule Neuenfelde;;;;;Grundschule;;;2;3;0;0;12324;0;0;;;;;
5755;Grundschule Neugraben - Offene Ganztagsgrundschule (GBS);Grundschule Neugraben;Francoper Straße 32, 21147 Hamburg;53.474585;9.864352;Grundschule;Grundschule;fa-building-o;green;4,6;2;0;0;0;0;0;;;;;
5508;Grundschule Neurahlstedt;Grundschule Neurahlstedt;Stapelfelder Straße 7, 22143 Hamburg;53.605883;10.168621;Grundschule;Grundschule;fa-building-o;green;3;4;;;13910;23758;25305;;;;;
5252;Grundschule Nydamer Weg;Grundschule Nydamer Weg;Nydamer Weg 44, 22145 Hamburg;53.617305;10.154537;Grundschule;Grundschule;fa-building-o;green;2,9;4;;;9097;25338;17157;;;;;
5139;Grundschule Osterbrook;Grundschule Osterbrook;Osterbrook 17, 20537 Hamburg;53.549008;10.056307;Grundschule;Grundschule;fa-building-o;green;3;1;;;41386;17199;25694;;;;;
5143;Grundschule Poppenbüttel;Grundschule Poppenbüttel;Schulbergredder 21, 22399 Hamburg;53.658997;10.080423;Grundschule;Grundschule;fa-building-o;green;3,2;5;;;;;72706;;;;;
5059;Grundschule Rahewinkel;Grundschule Rahewinkel;Rahewinkel 9, 22115 Hamburg;53.526622;10.154793;Grundschule;Grundschule;fa-building-o;green;4,8;1;;;16250;32458;25324;Grundschule Rahewinkel;;Grundschule;1;310000
;;;;;;;;;;;;;;;;;Grundschule Sander Straße;Bergedorf;Grundschule;3;54850
5348;Grundschule Sachsenweg;;Sachsenweg 74, 22455 Hamburg;53.641946;9.96027;Grundschule;;fa-building-o;green;;;;;;;;;;;;
5220;Grundschule Schimmelmannstraße;Grundschule Schimmelmannstraße;Schimmelmannstraße 70, 22043 Hamburg;53.571551;10.102693;Grundschule;Grundschule;fa-building-o;green;3,6;4;;;16221;15305;21973;Grundschule Schimmelmannstraße;Wandsbek-Süd;Grundschule;4;112500
;;Grundschule Schwarzenbergstraße;;;;;Grundschule;;;3;0;0;0;0;0;0;;;;;
5124;Grundschule St. Nikolai;Grundschule St. Nikolai;Robert-Koch-Straße 15, 20249 Hamburg;53.588932;9.983726;Grundschule;Grundschule;fa-building-o;green;5;6;;;32901;39976;24226;Grundschule St. Nikolai;Hamburg-Nord;Grundschule;6;50000
5103;Grundschule St.Pauli;Grundschule St. Pauli;Friedrichstraße 55, 20359 Hamburg;53.547707;9.958599;Grundschule;Grundschule;fa-building-o;green;3,3;2;;;;;31714;;;;;
